Parte,Descripcion,ClassID,Unidad Medida,Familia,Descripcion Familia,Codigo Grupo,Descripcion de Grupo,Grupo Mercadeo,Codigo Categoria,Descripcion Categoria,Codigo Subcategoria,Descripcion Subcategoria,Nuevo Producto,Color,Tipo Material,GTIN14,GTIN13,Unidad Venta,Unidad Empaque, Precio Base.,Codigo de Lista,Descripcion de lista,Código de moneda,Fecha de Inicio,Fecha Final,Año
10446,CESTA REDONDA MOCCA,TER,UN,00200,CASA,00424,CESTA REDONDA II,CESTAS,20000,CESTAS,20021,CESTAS REDONDAS ECONOMICAS,FALSE,MOCCA,VIRGEN,17705152104469,7705152104462,50,10,199999.00,MAYO2025,MAYORISTAS 2025,COP,12/27/2024,12/31/2025,2025
10447,CESTA REDONDA AZ NVY,TER,UN,00200,CASA,00424,CESTA REDONDA II,CESTAS,20000,CESTAS,20021,CESTAS REDONDAS ECONOMICAS,FALSE,AZUL NAVY,VIRGEN,17705152104476,7705152104479,50,10,199999.00,MAYO2025,MAYORISTAS 2025,COP,12/27/2024,12/31/2025,2025
2542,CESTA REDONDA BL,TER,UN,00200,CASA,00424,CESTA REDONDA II,CESTAS,20000,CESTAS,20021,CESTAS REDONDAS ECONOMICAS,FALSE,BLANCO,VIRGEN,17705152025429,7705152025422,50,10,199999.00,MAYO2025,MAYORISTAS 2025,COP,12/27/2024,12/31/2025,2025
3231,CESTA REDONDA TP,TER,UN,00200,CASA,00424,CESTA REDONDA II,CESTAS,20000,CESTAS,20021,CESTAS REDONDAS ECONOMICAS,FALSE,TAUPE,VIRGEN,17705152032311,7705152032314,50,10,199999.00,MAYO2025,MAYORISTAS 2025,COP,12/27/2024,12/31/2025,2025
7538,SILLA RITMO TP REC,TER,UN,00100,MUEBLES,01050,SILLA RITMO,SILLAS RECICLADAS C_BRAZOS,10000,SILLAS,10041,SILLAS RECICLADAS,FALSE,TAUPE,MATERIAL RECICLADO,17705152075387,7705152075380,36,36,199999.00,MAYO2025,MAYORISTAS 2025,COP,12/27/2024,12/31/2025,2025
8035,SILLA RITMO AZ OSC REC,TER,UN,00100,MUEBLES,01050,SILLA RITMO,SILLAS RECICLADAS C_BRAZOS,10000,SILLAS,10041,SILLAS RECICLADAS,FALSE,AZUL OSCURO,MATERIAL RECICLADO,17705152080350,7705152080353,36,36,199999.00,MAYO2025,MAYORISTAS 2025,COP,12/27/2024,12/31/2025,2025
8036,SILLA RITMO VD OSC REC,TER,UN,00100,MUEBLES,01050,SILLA RITMO,SILLAS RECICLADAS C_BRAZOS,10000,SILLAS,10041,SILLAS RECICLADAS,FALSE,VERDE,MATERIAL RECICLADO,17705152080367,7705152080360,36,36,199999.00,MAYO2025,MAYORISTAS 2025,COP,12/27/2024,12/31/2025,2025
12454,SILLA ETERNA C_BRAZOS BL AR,TER,UN,00100,MUEBLES,00036,SILLA ETERNA C_BRAZOS,SILLA ETERNA C_BRAZOS,10000,SILLAS,10021,SILLAS SEGMENTO MEDIO,FALSE,BLANCO ARENA,VIRGEN,17705152124542,7705152124545,32,32,199999.00,MAYO2025,MAYORISTAS 2025,COP,12/27/2024,12/31/2025,2025
7200,SILLA ETERNA C_BRAZOS WG,TER,UN,00100,MUEBLES,00036,SILLA ETERNA C_BRAZOS,SILLA ETERNA C_BRAZOS,10000,SILLAS,10021,SILLAS SEGMENTO MEDIO,FALSE,WENGUE,VIRGEN,17705152072003,7705152072006,32,32,199999.00,MAYO2025,MAYORISTAS 2025,COP,12/27/2024,12/31/2025,2025
8746,SILLA ETERNA C_BRAZOS NG,TER,UN,00100,MUEBLES,00036,SILLA ETERNA C_BRAZOS,SILLA ETERNA C_BRAZOS,10000,SILLAS,10021,SILLAS SEGMENTO MEDIO,FALSE,NEGRO,VIRGEN,17705152087465,7705152087468,32,32,199999.00,MAYO2025,MAYORISTAS 2025,COP,12/27/2024,12/31/2025,2025
12455,SILLA ETERNA S_BRAZOS BL AR,TER,UN,00100,MUEBLES,00037,SILLA ETERNA S_BRAZOS,SILLA ETERNA S_BRAZOS,10000,SILLAS,10021,SILLAS SEGMENTO MEDIO,FALSE,BLANCO ARENA,VIRGEN,17705152124559,7705152124552,30,30,199999.00,MAYO2025,MAYORISTAS 2025,COP,12/27/2024,12/31/2025,2025
7201,SILLA ETERNA S_BRAZOS WG,TER,UN,00100,MUEBLES,00037,SILLA ETERNA S_BRAZOS,SILLA ETERNA S_BRAZOS,10000,SILLAS,10021,SILLAS SEGMENTO MEDIO,FALSE,WENGUE,VIRGEN,17705152072010,7705152072013,30,30,199999.00,MAYO2025,MAYORISTAS 2025,COP,12/27/2024,12/31/2025,2025
8745,SILLA ETERNA S_BRAZOS NG,TER,UN,00100,MUEBLES,00037,SILLA ETERNA S_BRAZOS,SILLA ETERNA S_BRAZOS,10000,SILLAS,10021,SILLAS SEGMENTO MEDIO,FALSE,NEGRO,VIRGEN,17705152087458,7705152087451,30,30,199999.00,MAYO2025,MAYORISTAS 2025,COP,12/27/2024,12/31/2025,2025
10827,SILLA BARU C_BRAZOS TP,TER,UN,00100,MUEBLES,00393,SILLA BARU C_BRAZOS,SILLA BARU C_BRAZOS,10000,SILLAS,10011,SILLAS SEGMENTO ALTO,FALSE,TAUPE,VIRGEN,17705152108276,7705152108279,30,30,199999.00,MAYO2025,MAYORISTAS 2025,COP,12/27/2024,12/31/2025,2025
11698,SILLA BARU C_BRAZOS MOCCA,TER,UN,00100,MUEBLES,00393,SILLA BARU C_BRAZOS,SILLA BARU C_BRAZOS,10000,SILLAS,10011,SILLAS SEGMENTO ALTO,FALSE,MOCCA,VIRGEN,17705152116981,7705152116984,30,30,199999.00,MAYO2025,MAYORISTAS 2025,COP,12/27/2024,12/31/2025,2025
11699,SILLA BARU C_BRAZOS GR HL,TER,UN,00100,MUEBLES,00393,SILLA BARU C_BRAZOS,SILLA BARU C_BRAZOS,10000,SILLAS,10011,SILLAS SEGMENTO ALTO,FALSE,GRIS HIELO,VIRGEN,17705152116998,7705152116991,30,30,199999.00,MAYO2025,MAYORISTAS 2025,COP,12/27/2024,12/31/2025,2025
11937,SILLA BARU C_BRAZOS WG,TER,UN,00100,MUEBLES,00393,SILLA BARU C_BRAZOS,SILLA BARU C_BRAZOS,10000,SILLAS,10011,SILLAS SEGMENTO ALTO,FALSE,WENGUE,VIRGEN,17705152119371,7705152119374,30,30,199999.00,MAYO2025,MAYORISTAS 2025,COP,12/27/2024,12/31/2025,2025
12965,SILLA BARU S_BRAZOS WG,TER,UN,00100,MUEBLES,00766,SILLA BARU S_BRAZOS,SILLA BARU S_BRAZOS,10000,SILLAS,10011,SILLAS SEGMENTO ALTO,TRUE,WENGUE,VIRGEN,17705152129653,7705152129656,30,30,199999.00,MAYO2025,MAYORISTAS 2025,COP,12/27/2024,12/31/2025,2025
12966,SILLA BARU S_BRAZOS TP,TER,UN,00100,MUEBLES,00766,SILLA BARU S_BRAZOS,SILLA BARU S_BRAZOS,10000,SILLAS,10011,SILLAS SEGMENTO ALTO,TRUE,TAUPE,VIRGEN,17705152129660,7705152129663,30,30,199999.00,MAYO2025,MAYORISTAS 2025,COP,12/27/2024,12/31/2025,2025
12967,SILLA BARU S_BRAZOS MOCCA,TER,UN,00100,MUEBLES,00766,SILLA BARU S_BRAZOS,SILLA BARU S_BRAZOS,10000,SILLAS,10011,SILLAS SEGMENTO ALTO,TRUE,MOCCA,VIRGEN,17705152129677,7705152129670,30,30,199999.00,MAYO2025,MAYORISTAS 2025,COP,12/27/2024,12/31/2025,2025
12968,SILLA BARU S_BRAZOS GR HL,TER,UN,00100,MUEBLES,00766,SILLA BARU S_BRAZOS,SILLA BARU S_BRAZOS,10000,SILLAS,10011,SILLAS SEGMENTO ALTO,TRUE,GRIS HIELO,VIRGEN,17705152129684,7705152129687,30,30,199999.00,MAYO2025,MAYORISTAS 2025,COP,12/27/2024,12/31/2025,2025
13225,SILLA BARU C_BRAZOS AMA MOS,TER,UN,00100,MUEBLES,00393,SILLA BARU C_BRAZOS,SILLA BARU C_BRAZOS,10000,SILLAS,10011,SILLAS SEGMENTO ALTO,FALSE,AMARILLO MOSTAZA,VIRGEN,17705152132257,7705152132250,30,30,199999.00,MAYO2025,MAYORISTAS 2025,COP,12/27/2024,12/31/2025,2025
13226,SILLA BARU C_BRAZOS VD SEL,TER,UN,00100,MUEBLES,00393,SILLA BARU C_BRAZOS,SILLA BARU C_BRAZOS,10000,SILLAS,10011,SILLAS SEGMENTO ALTO,FALSE,VERDE SELVA,VIRGEN,17705152132264,7705152132267,30,30,199999.00,MAYO2025,MAYORISTAS 2025,COP,12/27/2024,12/31/2025,2025
